layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6531,0.0039,0.0288,0.1255,-0.0161
4,350,400,0.7017,0.7091,0.0074,0.0329,0.1604,-0.0539
5,350,400,0.7622,0.7612,-0.001,0.0103,0.0781,-0.0351
6,350,400,0.6709,0.6798,0.0089,0.0065,0.1844,-0.0777
7,350,400,0.7412,0.7437,0.0026,0.0343,0.1969,-0.0895
8,350,400,0.7445,0.7569,0.0125,0.0333,0.1571,-0.0228
9,350,400,0.6878,0.6862,-0.0016,0.0427,0.1746,-0.0436
10,350,400,0.6767,0.6665,-0.0101,0.0262,0.1336,-0.1592
11,350,400,0.6602,0.639,-0.0212,0.0525,0.1908,-0.0395
12,350,400,0.572,0.5488,-0.0232,0.0378,0.1379,-0.105
13,350,400,0.5633,0.5526,-0.0106,0.0152,0.1623,-0.145
14,350,400,0.5239,0.5244,0.0005,-0.011,0.1537,-0.2326
15,350,400,0.5707,0.5664,-0.0044,-0.0085,0.069,-0.1916
16,350,400,0.5257,0.5173,-0.0083,0.0057,0.0668,-0.0753
17,350,400,0.5174,0.5073,-0.0101,-0.0064,0.0931,-0.1127
18,350,400,0.5454,0.5371,-0.0083,0.0015,0.0603,-0.1015
19,350,400,0.5698,0.5625,-0.0073,0.0088,0.1063,-0.1231
20,350,400,0.5385,0.5278,-0.0107,0.0069,0.1302,-0.0635
21,350,400,0.4359,0.4209,-0.015,0.01,0.1221,-0.0692
22,350,400,0.5057,0.4908,-0.0149,0.0132,0.1576,-0.0743
23,350,400,0.3934,0.3806,-0.0128,0.0094,0.0876,-0.0389
24,350,400,0.313,0.3045,-0.0085,0.008,0.1142,-0.0354
25,350,400,0.2061,0.2008,-0.0054,-0.0009,0.1118,-0.0431
