layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6509,0.0018,0.0101,0.039,-0.0165
4,350,400,0.7017,0.6962,-0.0054,0.0122,0.0768,-0.0708
5,350,400,0.7622,0.7668,0.0047,0.0212,0.1099,-0.0654
6,350,400,0.6709,0.6662,-0.0047,0.0218,0.1023,-0.0354
7,350,400,0.7412,0.7419,0.0007,0.0073,0.1167,-0.0945
8,350,400,0.7445,0.7431,-0.0013,0.0164,0.0797,-0.0639
9,350,400,0.6878,0.6855,-0.0023,0.022,0.1304,-0.0372
10,350,400,0.6767,0.6649,-0.0118,0.0371,0.1129,-0.0131
11,350,400,0.6602,0.6479,-0.0123,0.0256,0.0904,-0.0611
12,350,400,0.572,0.5433,-0.0287,0.022,0.0733,-0.0271
13,350,400,0.5633,0.5447,-0.0186,0.013,0.0596,-0.0803
14,350,400,0.5239,0.5038,-0.0202,0.0067,0.0504,-0.0366
15,350,400,0.5707,0.5566,-0.0141,0.0013,0.0626,-0.059
16,350,400,0.5257,0.5068,-0.0189,0.0059,0.0558,-0.0365
17,350,400,0.5174,0.4943,-0.0231,-0.0013,0.0454,-0.0365
18,350,400,0.5454,0.5239,-0.0214,0.0012,0.0492,-0.0345
19,350,400,0.5698,0.5543,-0.0155,0.0046,0.0669,-0.0416
20,350,400,0.5385,0.5228,-0.0157,0.0081,0.0652,-0.0314
21,350,400,0.4359,0.4151,-0.0208,0.0095,0.0712,-0.021
22,350,400,0.5057,0.4878,-0.0179,0.01,0.0641,-0.0192
23,350,400,0.3934,0.3802,-0.0132,0.0098,0.0481,-0.0195
24,350,400,0.313,0.3022,-0.0108,0.0075,0.0692,-0.0749
25,350,400,0.2061,0.2012,-0.0049,0.0055,0.0302,-0.0576
