layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,-0.0,-0.0,0.0011,-0.002
1,350,400,0.5989,0.5989,-0.0,-0.0001,0.0016,-0.002
2,350,400,0.7303,0.7303,-0.0,-0.0001,0.0014,-0.0022
3,350,400,0.6492,0.6491,-0.0,-0.0001,0.0012,-0.0012
4,350,400,0.7017,0.7016,-0.0,-0.0,0.0004,-0.0012
5,350,400,0.7622,0.7622,-0.0,-0.0,0.0004,-0.0006
6,350,400,0.6709,0.6709,-0.0,-0.0,0.0005,-0.0014
7,350,400,0.7412,0.7412,0.0,0.0,0.0007,-0.0004
8,350,400,0.7445,0.7445,-0.0,-0.0,0.0003,-0.0004
9,350,400,0.6878,0.6878,0.0,0.0,0.0009,-0.0003
10,350,400,0.6767,0.6767,-0.0,0.0,0.0003,-0.0002
11,350,400,0.6602,0.6602,-0.0,-0.0,0.0002,-0.0003
12,350,400,0.572,0.572,-0.0,0.0,0.0004,-0.0002
13,350,400,0.5633,0.5633,-0.0,0.0,0.0006,-0.0003
14,350,400,0.5239,0.5239,-0.0,0.0,0.0003,-0.0003
15,350,400,0.5707,0.5707,-0.0,0.0,0.0007,-0.0003
16,350,400,0.5257,0.5256,-0.0,0.0,0.0004,-0.0003
17,350,400,0.5174,0.5174,-0.0,0.0,0.0008,-0.0007
18,350,400,0.5454,0.5453,-0.0,0.0,0.0004,-0.0006
19,350,400,0.5698,0.5698,-0.0,0.0,0.0006,-0.0005
20,350,400,0.5385,0.5401,0.0016,0.0012,0.0323,-0.0264
21,350,400,0.4359,0.4389,0.003,0.0019,0.0571,-0.0925
22,350,400,0.5057,0.5063,0.0006,0.0041,0.0867,-0.0405
23,350,400,0.3934,0.3944,0.001,0.0029,0.0304,-0.0483
24,350,400,0.313,0.3139,0.0008,0.0031,0.0408,-0.0161
25,350,400,0.2061,0.2064,0.0002,0.0013,0.0216,-0.0236
