layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,-0.0,-0.0,0.0011,-0.002
1,350,400,0.5989,0.5989,-0.0,-0.0001,0.0016,-0.002
2,350,400,0.7303,0.7303,-0.0,-0.0001,0.0016,-0.0022
3,350,400,0.6492,0.6479,-0.0013,0.0024,0.0729,-0.0764
4,350,400,0.7017,0.7053,0.0036,0.0348,0.2449,-0.0548
5,350,400,0.7622,0.7643,0.0021,0.017,0.1168,-0.1218
6,350,400,0.6709,0.6681,-0.0028,0.0109,0.2121,-0.0798
7,350,400,0.7412,0.7406,-0.0005,-0.0038,0.143,-0.0956
8,350,400,0.7445,0.7434,-0.001,-0.0083,0.0335,-0.0911
9,350,400,0.6878,0.6868,-0.001,-0.0033,0.0897,-0.0439
10,350,400,0.6767,0.6778,0.0012,-0.0019,0.0542,-0.031
11,350,400,0.6602,0.6608,0.0006,-0.0023,0.0812,-0.0313
12,350,400,0.572,0.5717,-0.0003,-0.0024,0.0309,-0.0375
13,350,400,0.5633,0.5627,-0.0006,-0.0026,0.0292,-0.0225
14,350,400,0.5239,0.5229,-0.001,0.0003,0.0293,-0.0408
15,350,400,0.5707,0.5688,-0.0019,0.0017,0.0343,-0.0241
16,350,400,0.5257,0.5229,-0.0028,-0.0009,0.0218,-0.0327
17,350,400,0.5174,0.5153,-0.0021,-0.0021,0.058,-0.0398
18,350,400,0.5454,0.5436,-0.0018,-0.0015,0.0391,-0.0285
19,350,400,0.5698,0.5699,0.0001,0.007,0.0422,-0.0545
20,350,400,0.5385,0.537,-0.0015,0.0059,0.0547,-0.0366
21,350,400,0.4359,0.4322,-0.0037,0.0055,0.0573,-0.0371
22,350,400,0.5057,0.5026,-0.0031,0.0077,0.0952,-0.0838
23,350,400,0.3934,0.3902,-0.0032,0.0067,0.1117,-0.0265
24,350,400,0.313,0.3102,-0.0029,0.0028,0.0965,-0.0509
25,350,400,0.2061,0.2038,-0.0023,0.0006,0.0437,-0.0283
