layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,-0.0,-0.0,0.0011,-0.002
1,350,400,0.5989,0.5989,-0.0,-0.0001,0.0016,-0.002
2,350,400,0.7303,0.7303,-0.0,-0.0001,0.0014,-0.0022
3,350,400,0.6492,0.6491,-0.0,-0.0001,0.0012,-0.0012
4,350,400,0.7017,0.7016,-0.0,-0.0,0.0004,-0.0012
5,350,400,0.7622,0.7633,0.0012,0.0061,0.0278,-0.0109
6,350,400,0.6709,0.6711,0.0002,0.0039,0.0439,-0.045
7,350,400,0.7412,0.7409,-0.0003,0.0036,0.0513,-0.0099
8,350,400,0.7445,0.7439,-0.0006,0.0004,0.0468,-0.0171
9,350,400,0.6878,0.6868,-0.001,-0.0014,0.0078,-0.0151
10,350,400,0.6767,0.6758,-0.0009,-0.0006,0.0121,-0.0121
11,350,400,0.6602,0.6595,-0.0007,-0.0009,0.0074,-0.0117
12,350,400,0.572,0.5713,-0.0007,-0.0006,0.0074,-0.0087
13,350,400,0.5633,0.5628,-0.0005,-0.0002,0.0061,-0.0103
14,350,400,0.5239,0.5234,-0.0006,-0.0,0.0076,-0.0054
15,350,400,0.5707,0.5723,0.0016,0.0116,0.0917,-0.0445
16,350,400,0.5257,0.5254,-0.0002,0.0036,0.022,-0.0165
17,350,400,0.5174,0.5165,-0.001,0.0003,0.0153,-0.0352
18,350,400,0.5454,0.5441,-0.0013,-0.0003,0.0134,-0.0124
19,350,400,0.5698,0.5684,-0.0014,-0.0001,0.0419,-0.027
20,350,400,0.5385,0.545,0.0066,0.0237,0.0779,-0.123
21,350,400,0.4359,0.44,0.0041,0.0116,0.0817,-0.0813
22,350,400,0.5057,0.5086,0.0029,0.0048,0.0734,-0.0789
23,350,400,0.3934,0.3929,-0.0005,0.0123,0.0619,-0.0334
24,350,400,0.313,0.3157,0.0027,0.0139,0.1001,-0.0761
25,350,400,0.2061,0.2065,0.0004,0.0078,0.092,-0.2433
