layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6492,0.0,0.0,0.0,0.0
4,350,400,0.7017,0.7017,0.0,0.0,0.0,0.0
5,350,400,0.7622,0.7622,0.0,0.0,0.0,0.0
6,350,400,0.6709,0.6709,0.0,0.0,0.0,0.0
7,350,400,0.7412,0.7331,-0.0081,-0.0131,0.2134,-0.2581
8,350,400,0.7445,0.7219,-0.0226,0.0165,0.2862,-0.2942
9,350,400,0.6878,0.695,0.0072,0.0378,0.2077,-0.1062
10,350,400,0.6767,0.6791,0.0024,0.0009,0.1167,-0.1773
11,350,400,0.6602,0.6623,0.0021,-0.0098,0.0742,-0.0962
12,350,400,0.572,0.5752,0.0032,-0.0095,0.0539,-0.1163
13,350,400,0.5633,0.5647,0.0015,-0.015,0.0375,-0.0916
14,350,400,0.5239,0.526,0.002,-0.017,0.0635,-0.0888
15,350,400,0.5707,0.5718,0.0011,-0.013,0.0203,-0.0624
16,350,400,0.5257,0.5259,0.0002,-0.012,0.0276,-0.0837
17,350,400,0.5174,0.5165,-0.0009,-0.013,0.0221,-0.0872
18,350,400,0.5454,0.5427,-0.0027,-0.0093,0.0472,-0.0589
19,350,400,0.5698,0.5679,-0.0019,-0.0036,0.073,-0.0747
20,350,400,0.5385,0.5355,-0.0029,-0.0026,0.0632,-0.034
21,350,400,0.4359,0.4317,-0.0042,0.0027,0.0529,-0.0333
22,350,400,0.5057,0.5008,-0.0049,0.0018,0.0516,-0.0389
23,350,400,0.3934,0.3896,-0.0038,0.0031,0.0325,-0.0331
24,350,400,0.313,0.3089,-0.0041,0.0034,0.0551,-0.0289
25,350,400,0.2061,0.203,-0.0031,0.0041,0.0357,-0.0218
