layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6492,0.0,0.0,0.0,0.0
4,350,400,0.7017,0.7017,0.0,0.0,0.0,0.0
5,350,400,0.7622,0.7622,0.0,0.0,0.0,0.0
6,350,400,0.6709,0.6709,0.0,0.0,0.0,0.0
7,350,400,0.7412,0.7387,-0.0025,0.0296,0.314,-0.3635
8,350,400,0.7445,0.7195,-0.025,0.0259,0.2141,-0.2104
9,350,400,0.6878,0.702,0.0142,0.0331,0.286,-0.1392
10,350,400,0.6767,0.6819,0.0052,0.0077,0.1252,-0.1162
11,350,400,0.6602,0.6598,-0.0004,0.002,0.0684,-0.1415
12,350,400,0.572,0.5717,-0.0003,-0.0041,0.1082,-0.1116
13,350,400,0.5633,0.5633,0.0,-0.0178,0.0638,-0.1005
14,350,400,0.5239,0.5247,0.0007,-0.0159,0.0411,-0.0698
15,350,400,0.5707,0.5711,0.0004,-0.0134,0.0292,-0.077
16,350,400,0.5257,0.5246,-0.0011,-0.0149,0.0317,-0.074
17,350,400,0.5174,0.5155,-0.0019,-0.0159,0.036,-0.0702
18,350,400,0.5454,0.541,-0.0044,-0.0138,0.0429,-0.0693
19,350,400,0.5698,0.5659,-0.0039,-0.0034,0.0614,-0.0418
20,350,400,0.5385,0.5323,-0.0061,-0.0024,0.0486,-0.0381
21,350,400,0.4359,0.4279,-0.008,0.0022,0.0363,-0.0364
22,350,400,0.5057,0.4974,-0.0083,0.0031,0.0509,-0.0873
23,350,400,0.3934,0.3856,-0.0078,0.0025,0.0374,-0.0287
24,350,400,0.313,0.3048,-0.0082,0.0028,0.0472,-0.0344
25,350,400,0.2061,0.2011,-0.005,0.0062,0.0645,-0.0286
