layer,K,n_prompts,residual_base,residual_candidate,residual_delta,rel_delta_mean,rel_delta_max,rel_delta_min
0,350,400,0.3195,0.3195,0.0,0.0,0.0,0.0
1,350,400,0.5989,0.5989,0.0,0.0,0.0,0.0
2,350,400,0.7303,0.7303,0.0,0.0,0.0,0.0
3,350,400,0.6492,0.6492,0.0,0.0,0.0,0.0
4,350,400,0.7017,0.7017,0.0,0.0,0.0,0.0
5,350,400,0.7622,0.7622,0.0,0.0,0.0,0.0
6,350,400,0.6709,0.6709,0.0,0.0,0.0,0.0
7,350,400,0.7412,0.7014,-0.0397,0.0383,0.222,-0.1802
8,350,400,0.7445,0.7312,-0.0133,0.0363,0.1975,-0.1883
9,350,400,0.6878,0.7055,0.0177,0.0169,0.2025,-0.1731
10,350,400,0.6767,0.6917,0.015,-0.007,0.102,-0.2028
11,350,400,0.6602,0.6712,0.011,-0.007,0.0756,-0.1617
12,350,400,0.572,0.5892,0.0172,-0.0174,0.0614,-0.1532
13,350,400,0.5633,0.5746,0.0114,-0.0211,0.0392,-0.1767
14,350,400,0.5239,0.5279,0.0039,-0.0188,0.0531,-0.1084
15,350,400,0.5707,0.5738,0.0031,-0.0181,0.0287,-0.0818
16,350,400,0.5257,0.5267,0.0011,-0.0182,0.0381,-0.1013
17,350,400,0.5174,0.5157,-0.0017,-0.0236,0.0266,-0.1
18,350,400,0.5454,0.5438,-0.0016,-0.0141,0.0395,-0.0693
19,350,400,0.5698,0.5704,0.0006,-0.0091,0.064,-0.07
20,350,400,0.5385,0.5368,-0.0017,-0.0058,0.095,-0.0377
21,350,400,0.4359,0.4323,-0.0036,-0.001,0.0641,-0.0422
22,350,400,0.5057,0.5016,-0.0041,-0.0002,0.0624,-0.0537
23,350,400,0.3934,0.39,-0.0034,0.0019,0.0322,-0.0488
24,350,400,0.313,0.3081,-0.0049,0.0017,0.1051,-0.0513
25,350,400,0.2061,0.2029,-0.0033,0.0051,0.0651,-0.0442
