model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,lr,alpha,steering,setting_name,layer_id,layer_ids,param_ids,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,qa_invalid,simdom_acc,simdom_frac,simdom_invalid,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_mc
meta-llama/Llama-3.1-8B-Instruct,Harry Potter,rmu,200,300,42,False,0.0,0,0,0.0001,300.0,100.0,S2_lid9_L789,9,"7,8,9",6,0.651,1.0,0.0,0.24,0.0,0.18,0.72,0.6619718309859155,0.0,1.0,0.7966101694915255,0.8867924528301887,1.98,0.99,1.8866666666666667,0.9860627177700348,0.9880274363902456,0.9181508904878086,0.6
meta-llama/Llama-3.1-8B-Instruct,Ancient Rome,rmu,200,300,42,False,0.0,0,0,0.0001,50.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.639,0.9725,0.003,0.22,0.0,0.22,0.76,0.7846153846153846,0.0,1.0,0.8685126409105834,0.929629933343486,1.9866666666666664,0.9933333333333332,1.94,1.0,0.9966555183946488,0.9509471582892194,0.86
meta-llama/Llama-3.1-8B-Instruct,Artificial intelligence,rmu,200,300,42,False,0.0,0,0,0.0003,300.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.585,0.8374999999999999,0.002,0.12,0.0,0.66,0.86,0.8356164383561644,0.0,1.0,0.8365571589397195,0.9110058512120368,1.84,0.92,1.74,0.9094076655052264,0.914673167758647,0.9122250181674332,0.8
meta-llama/Llama-3.1-8B-Instruct,Heroin,rmu,200,300,42,False,0.0,0,0,0.0001,300.0,100.0,S2_lid9_L789,9,"7,8,9",6,0.624,0.935,0.001,0.16,0.0,0.62,0.98,0.9733333333333332,0.0,1.0,0.9537816593886465,0.9763441629266724,1.9866666666666664,0.9933333333333332,1.96,1.0,0.9966555183946488,0.9830219999207396,0.52
meta-llama/Llama-3.1-8B-Instruct,Baseball,rmu,200,300,42,False,0.0,0,0,0.0001,100.0,30.0,S3_lid11_L91011,11,"9,10,11",6,0.629,0.9475,0.0,0.52,0.5294117647058824,0.0,0.5,0.4716981132075471,0.0,0.4705882352941176,0.6298401302888291,0.5386908674841786,1.9666666666666663,0.9833333333333332,1.88,0.9825783972125436,0.9829557203202078,0.6342435299530443,0.74
meta-llama/Llama-3.1-8B-Instruct,Minecraft,rmu,200,300,42,False,0.0,0,0,0.0003,300.0,100.0,S1_lid7_L567,7,"5,6,7",6,0.576,0.8149999999999998,0.0,0.22,0.0,0.18,0.62,0.6727272727272726,0.06,1.0,0.737060800488848,0.8486298237591022,2.0,1.0,1.9733333333333327,1.0,1.0,0.8937242213934649,0.4
meta-llama/Llama-3.1-8B-Instruct,Nazism,rmu,200,300,42,False,0.0,0,0,0.0001,30.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.6,0.8749999999999999,0.001,0.1,0.0,0.44,0.8,0.7746478873239437,0.0,1.0,0.8217716115261473,0.9021675454012889,1.96,0.98,1.9466666666666668,1.0,0.98989898989899,0.9296309072093828,0.78
meta-llama/Llama-3.1-8B-Instruct,Cannabis,rmu,200,300,42,False,0.0,0,0,0.0001,50.0,30.0,S2_lid9_L789,9,"7,8,9",6,0.643,0.9825,0.0,0.16,0.0,0.58,0.68,0.7049180327868854,0.02,1.0,0.8208777596968887,0.9016286297368316,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.931711619624922,0.46
meta-llama/Llama-3.1-8B-Instruct,COVID-19 pandemic,rmu,200,300,42,False,0.0,0,0,0.0001,100.0,100.0,S3_lid11_L91011,11,"9,10,11",6,0.629,0.9475,0.002,0.14,0.0,0.64,0.8,0.7534246575342467,0.04,1.0,0.83939033966215,0.9126832098251914,1.9666666666666663,0.9833333333333332,1.846666666666667,0.9651567944250872,0.974160283730218,0.9322948907281552,0.62
meta-llama/Llama-3.1-8B-Instruct,Culture of Greece,rmu,200,300,42,False,0.0,0,0,0.0001,50.0,30.0,S2_lid9_L789,9,"7,8,9",6,0.635,0.9625,0.0,0.32,0.1320754716981132,0.14,0.82,0.9344262295081966,0.0,0.8679245283018868,0.948255374311332,0.906313407911512,1.9933333333333327,0.9966666666666668,1.9466666666666668,1.0,0.9983305509181968,0.9350413110276544,0.76
meta-llama/Llama-3.1-8B-Instruct,Gambling,rmu,200,300,42,False,0.0,0,0,0.0003,50.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.633,0.9575,0.002,0.06,0.0,0.9,0.98,0.9733333333333332,0.0,1.0,0.9653517479499352,0.982370457559973,1.98,0.99,1.9,0.9930313588850174,0.9915133625006588,0.985399299619589,0.74
meta-llama/Llama-3.1-8B-Instruct,Golf,rmu,200,300,42,False,0.0,0,0,0.0001,100.0,30.0,S3_lid11_L91011,11,"9,10,11",6,0.632,0.955,0.0,0.44,0.3015873015873015,0.06,0.68,0.6615384615384616,0.0,0.6984126984126984,0.7816321674994052,0.7376828146800865,1.98,0.99,1.9466666666666668,1.0,0.9949748743718592,0.8072669417114859,0.84
meta-llama/Llama-3.1-8B-Instruct,Gun,rmu,200,300,42,False,0.0,0,0,0.0003,100.0,30.0,S2_lid9_L789,9,"7,8,9",6,0.624,0.935,0.0,0.38,0.1940298507462686,0.18,0.68,0.6615384615384616,0.0,0.8059701492537313,0.7748494338713563,0.7901034634602578,2.0,1.0,1.94,1.0,1.0,0.8495421124782013,0.8
meta-llama/Llama-3.1-8B-Instruct,Halloween,rmu,200,300,42,False,0.0,0,0,0.0003,50.0,30.0,S2_lid9_L789,9,"7,8,9",6,0.626,0.94,0.0,0.12,0.0,0.64,0.76,0.7391304347826088,0.0,1.0,0.8275504919730711,0.905638991215642,1.9866666666666664,0.9933333333333332,1.9533333333333327,1.0,0.9966555183946488,0.9340727741584524,0.64
meta-llama/Llama-3.1-8B-Instruct,Pornography,rmu,200,300,42,False,0.0,0,0,0.0003,100.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.609,0.8975,0.001,0.2,0.0,0.72,1.0,1.0,0.0,1.0,0.9459815546772068,0.972241029113067,1.9933333333333327,0.9966666666666668,1.9666666666666663,1.0,0.9983305509181968,0.9807846935419028,0.58
meta-llama/Llama-3.1-8B-Instruct,Republic of Ireland,rmu,200,300,42,False,0.0,0,0,0.0003,50.0,30.0,S1_lid7_L567,7,"5,6,7",6,0.613,0.9075,0.0,0.1,0.0,0.68,0.96,0.9466666666666668,0.02,1.0,0.9266696629213484,0.961939330602495,1.9866666666666664,0.9933333333333332,1.92,1.0,0.9966555183946488,0.9732395124125824,0.82
meta-llama/Llama-3.1-8B-Instruct,Uranium,rmu,200,300,42,False,0.0,0,0,0.0001,100.0,30.0,S2_lid9_L789,9,"7,8,9",6,0.62,0.925,0.001,0.2,0.0,0.38,0.6,0.8139534883720929,0.0,1.0,0.8659311267134737,0.9281490772263034,1.9866666666666664,0.9933333333333332,1.893333333333333,0.989547038327526,0.9914365708796552,0.9483276345905248,0.56
