model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,w_mode,feature_source,ratio_thresh,coverage_thresh,neurons_thresh,delta_in,layer_lo_in,layer_hi_in,k_features_mlp_in,delta_out,layer_lo_out,layer_hi_out,k_features_mlp_out,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,qa_invalid,simdom_acc,simdom_frac,simdom_invalid,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_mc
google/gemma-2-2b-it,Golf,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,12,25,10.0,9,17,4,0.441,0.6541095890410958,0.0,0.34,0.1636363636363636,0.0,0.36,0.1692307692307692,0.0,0.8363636363636363,0.2688935816215524,0.4069510880549754,1.96,0.98,1.9266666666666667,1.0,0.98989898989899,0.5063462386093621,0.44
google/gemma-2-2b-it,Uranium,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,25,36,10.0,0,8,17,0.44,0.6506849315068493,0.0,0.32,0.2,0.0,0.44,0.3877551020408163,0.0,0.7999999999999999,0.4859335038363171,0.6046141607000796,1.9866666666666664,0.9933333333333332,1.9,1.0,0.9966555183946488,0.6958537994207363,0.26
google/gemma-2-2b-it,Minecraft,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,25,22,4.0,13,25,8,0.528,0.952054794520548,0.0,0.44,0.6129032258064515,0.0,0.64,0.7090909090909091,0.0,0.3870967741935485,0.8128045580628233,0.5244331579902051,2.0,1.0,1.96,1.0,1.0,0.6232288103928952,0.52
google/gemma-2-2b-it,Ancient Rome,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,8,13,1.0,13,25,6,0.53,0.958904109589041,0.0,0.56,0.5849056603773586,0.0,0.74,0.8032786885245902,0.0,0.4150943396226414,0.8742194469223907,0.5629095846061459,1.9866666666666664,0.9933333333333332,1.9533333333333327,1.0,0.9966555183946488,0.6584254964057323,0.5
google/gemma-2-2b-it,Gun,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,8,36,4.0,9,17,4,0.472,0.7602739726027395,0.0,0.54,0.4915254237288136,0.0,0.48,0.3898305084745763,0.0,0.5084745762711864,0.515393156354093,0.5119104908565928,1.9866666666666664,0.9933333333333332,1.9533333333333327,1.0,0.9966555183946488,0.6109620366975217,0.6
google/gemma-2-2b-it,Artificial intelligence,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,8,36,4.0,0,8,36,0.508,0.8835616438356163,0.0,0.48,0.4693877551020408,0.0,0.98,1.0,0.0,0.5306122448979592,0.938181818181818,0.6778496362166532,1.9866666666666664,0.9933333333333332,1.94,1.0,0.9966555183946488,0.7587517150178119,0.52
google/gemma-2-2b-it,Nazism,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,12,25,1.0,9,17,9,0.493,0.8321917808219177,0.0,0.44,0.3584905660377358,0.0,0.76,0.7183098591549296,0.0,0.6415094339622642,0.7710685954269716,0.7003475459862678,1.9866666666666664,0.9933333333333332,1.9266666666666667,1.0,0.9966555183946488,0.7773872133959912,0.4
google/gemma-2-2b-it,Baseball,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,1.0,0,12,33,10.0,0,8,29,0.52,0.9246575342465752,0.0,0.4,0.4054054054054055,0.0,0.46,0.4285714285714286,0.0,0.5945945945945945,0.5856832971800434,0.5901053049870852,2.0,1.0,1.9533333333333327,1.0,1.0,0.6834918686713717,0.54
google/gemma-2-2b-it,Harry Potter,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,12,16,1.0,0,8,15,0.534,0.9726027397260274,0.0,0.64,0.6190476190476191,0.0,0.78,0.8688524590163935,0.0,0.3809523809523809,0.9178048780487804,0.538422328143584,2.0,1.0,1.9533333333333327,1.0,1.0,0.6363271259168446,0.68
google/gemma-2-2b-it,COVID-19 pandemic,snmf,100,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,12,36,1.0,0,8,31,0.405,0.5308219178082192,0.0,0.34,0.2571428571428572,0.02,0.52,0.391304347826087,0.0,0.7428571428571428,0.4505086387857259,0.5608733975598065,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.6568087915687191,0.28
