model,concept,method,rank,n_sentences,seed,embed_step_enabled,delta_embed,k_features_embed,n_tokens_edited,w_mode,feature_source,ratio_thresh,coverage_thresh,neurons_thresh,delta_in,layer_lo_in,layer_hi_in,k_features_mlp_in,delta_out,layer_lo_out,layer_hi_out,k_features_mlp_out,mmlu_acc,mmlu_frac,mmlu_invalid,qa_acc,qa_frac,qa_invalid,simdom_acc,simdom_frac,simdom_invalid,efficacy,specificity,harmonic,alpaca_instr,alp_instr_frac,alpaca_flu,alp_flu_frac,coherence,harmonic_alpaca,relearning_qa_mc
meta-llama/Llama-3.1-8B-Instruct,Ancient Rome,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,10,50,4.0,0,10,50,0.568,0.7949999999999998,0.001,0.4,0.2173913043478261,0.0,0.7,0.6923076923076922,0.0,0.7826086956521738,0.7401086113266095,0.7607655502392342,1.9933333333333327,0.9966666666666668,1.933333333333333,1.0,0.9983305509181968,0.8263090047942525,0.66
meta-llama/Llama-3.1-8B-Instruct,Halloween,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,10,37,7.0,16,31,25,0.6,0.8749999999999999,0.001,0.52,0.5094339622641509,0.0,0.68,0.6231884057971016,0.0,0.490566037735849,0.727932285368803,0.5861294188136609,1.9933333333333327,0.9966666666666668,1.92,1.0,0.9983305509181968,0.679672897490343,0.42
meta-llama/Llama-3.1-8B-Instruct,Artificial intelligence,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,31,158,1.0,11,21,47,0.558,0.7700000000000001,0.0,0.4,0.2307692307692307,0.0,1.0,1.0,0.0,0.7692307692307692,0.8700564971751412,0.816542948038176,1.96,0.98,1.9,0.9930313588850174,0.9864726450747008,0.8662850096385474,0.64
meta-llama/Llama-3.1-8B-Instruct,Harry Potter,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,10,31,4.0,0,10,31,0.614,0.91,0.0,0.38,0.2063492063492063,0.0,0.58,0.4647887323943662,0.0,0.7936507936507936,0.6153058088310625,0.693190894107762,1.9933333333333327,0.9966666666666668,1.88,0.9825783972125436,0.9895723917776226,0.7700708149515522,0.46
meta-llama/Llama-3.1-8B-Instruct,Baseball,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,16,93,4.0,0,10,83,0.57,0.7999999999999998,0.0,0.3,0.0980392156862744,0.06,0.42,0.320754716981132,0.0,0.9019607843137256,0.4579124579124577,0.6074376153024564,1.98,0.99,1.9,0.9930313588850174,0.9915133625006588,0.6974994827228072,0.54
meta-llama/Llama-3.1-8B-Instruct,Heroin,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,4.0,0,16,46,4.0,11,21,21,0.642,0.98,0.0,0.6,0.5932203389830508,0.0,1.0,1.0,0.0,0.4067796610169492,0.98989898989899,0.5766119146849719,2.0,1.0,1.933333333333333,1.0,1.0,0.671360608943863,0.6
meta-llama/Llama-3.1-8B-Instruct,Cannabis,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,16,59,7.0,16,31,50,0.534,0.7100000000000001,0.0,0.42,0.2328767123287671,0.04,0.5,0.4098360655737705,0.0,0.7671232876712328,0.5196896501244328,0.619617694635694,1.9933333333333327,0.9966666666666668,1.8866666666666667,0.9860627177700348,0.9913363364242908,0.7081256685174955,0.38
meta-llama/Llama-3.1-8B-Instruct,Nazism,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,10.0,0,10,34,4.0,11,21,23,0.56,0.7750000000000001,0.0,0.52,0.4285714285714286,0.0,0.8,0.7746478873239437,0.0,0.5714285714285714,0.7748239036582595,0.6577614891257173,1.9866666666666664,0.9933333333333332,1.92,1.0,0.9966555183946488,0.741844983322395,0.68
meta-llama/Llama-3.1-8B-Instruct,COVID-19 pandemic,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,10,75,1.0,11,21,51,0.575,0.8124999999999999,0.0,0.36,0.2972972972972972,0.0,0.8,0.7534246575342467,0.0,0.7027027027027027,0.7818480043739748,0.7401656314699794,1.9933333333333327,0.9966666666666668,1.9533333333333327,1.0,0.9983305509181968,0.8099854700082911,0.5
meta-llama/Llama-3.1-8B-Instruct,Pornography,snmf,200,300,42,False,0.0,0,0,both,all,2.0,0.95,,7.0,0,10,59,4.0,11,21,45,0.59,0.8499999999999999,0.001,0.68,0.6231884057971016,0.0,0.98,0.9733333333333332,0.0,0.3768115942028984,0.9074954296160876,0.532512542909955,2.0,1.0,1.92,1.0,1.0,0.6308113391984359,0.62
